date,JOHNSON CONTROLS INTERNATIONAL PLC,ALPHABET INC,AMGEN INC,AUTOZONE INC,BALL CORP,CHIPOTLE MEXICAN GRILL INC,COCA-COLA,EXXON MOBIL CORP,INTUITIVE SURGICAL INC,iShares Gold Trust,iShares Core S&P 500,iShares iBoxx $ Investment Grade Corporate Bond,iShares TIPS Bond,iShares Core S&P Mid-Cap ETF,iShares MSCI EAFE,iShares Russell 1000 Growth ETF,iShares Russell 1000 Growth ETF,iShares Core S&P Small-Cap ETF,iShares National Muni Bond ETF,Shares J.P. Morgan USD Emerging Markets Bond,iShares iBoxx $ High Yield Corporate Bond ETF,iShares MBS ETF ,iShares 3-7 Year Treasury Bond,iShares 1-3 Year Credit Bond,KELLOGG,MARATHON PETROLEUM CORP,NEWMONT MINING CORP,PAYPAL HOLDINGS INC,iShares 20+ Year Treasury Bond,iShares Core MSCI Emerging Markets
2019-02-21,34.679653,1096.969971,181.417328,906.330017,54.024986,601.190002,44.451496,75.087662,549.869995,12.67,273.289551,112.302063,109.001579,188.634598,61.863483,120.0998,144.816116,79.579094,107.266571,103.626831,81.559029,102.514252,119.335358,82.089592,56.125282,62.763042,34.020996,94.959999,118.340759,49.531788
2019-02-22,34.855049,1110.369995,183.373306,911.659973,54.798466,600.219971,43.889309,75.666595,551.859985,12.73,274.865417,112.806091,109.286491,190.069687,62.066765,120.5578,146.161316,79.943504,107.423027,104.269089,81.721344,102.631264,119.541527,82.14846,54.585758,63.112476,35.049019,95.980003,119.045807,50.083431
2019-02-25,34.913509,1109.400024,185.632462,889.599976,54.42165,596.659973,43.559753,75.743782,553.390015,12.72,275.296112,112.767326,109.207893,190.099167,62.250675,120.752686,146.398712,79.76622,107.34481,104.096558,81.788185,102.621513,119.46299,82.138634,53.556206,62.850399,34.683929,96.699997,118.693283,50.586685
2019-02-26,34.66991,1115.130005,185.896515,935,54.213398,599.5,43.317432,75.898178,548.460022,12.73,275.090546,112.941803,109.365089,188.467514,62.550751,120.518814,146.369034,78.998016,107.589272,104.403313,81.893196,102.709282,119.659348,82.177879,53.806374,62.695087,33.579037,96.589996,119.28083,50.451195
2019-02-27,34.601688,1116.050049,187.207047,911.929993,55.036469,599.280029,43.559753,76.679733,549.409973,12.65,274.953522,112.621925,109.109657,188.693588,62.299076,120.479836,146.329483,79.116203,107.403481,104.432083,81.921875,102.563011,119.46299,82.158257,53.65242,61.540009,32.68552,97.860001,117.929482,50.044716
2019-02-28,34.367836,1119.920044,185.896515,938.969971,54.420532,607.530029,43.947472,76.25518,547.609985,12.58,274.376038,112.466827,108.932816,187.897415,62.211952,120.19725,146.022858,78.81089,107.383934,104.364967,81.874115,102.514252,119.31572,82.138634,54.133522,60.190777,32.781593,98.07,117.528,49.473717
2019-03-01,34.387325,1140.98999,186.952759,929.320007,54.84771,611.630005,43.986244,77.191116,558.549988,12.36,276.323822,112.270432,108.716675,189.342316,62.550751,120.869621,147.140533,79.263931,107.400589,103.99247,82.106209,102.264923,119.058037,82.083626,54.691605,60.841125,32.493362,98.800003,116.441696,49.425331
2019-03-04,34.406815,1147.800049,185.603134,932.950012,54.887451,618.849976,44.247952,77.490227,549.929993,12.33,275.198212,112.523239,108.873871,188.447845,62.318428,120.392136,146.418472,78.44648,107.479004,103.934723,81.981537,102.411591,119.264572,82.103287,53.068733,60.190777,33.098652,96.57,117.354294,49.531788
2019-03-05,34.328861,1162.030029,184.664261,939.830017,55.592789,616.01001,44.199482,77.374451,546.609985,12.34,274.845825,112.562126,108.834579,187.661484,62.376514,120.148529,146.329483,78.121452,107.508392,103.982849,81.943169,102.450691,119.284248,82.113106,53.22422,59.025993,33.146694,96.529999,117.599617,50.02536
2019-03-06,34.260643,1157.859985,179.119034,935.349976,55.056332,613.409973,44.054092,76.496391,536.51001,12.32,273.093842,112.669075,108.962288,185.096054,62.221634,119.300758,145.468933,76.585037,107.616196,103.89624,81.808907,102.587585,119.500626,82.172043,52.932682,58.171806,31.969772,96.459999,118.031418,49.783413
2019-03-07,34.757599,1143.300049,177.466248,940.549988,54.32119,609.530029,43.889309,77.345505,533.159973,12.31,270.891541,113.038567,109.266846,183.533173,61.427891,118.579674,144.014954,75.78727,107.831825,103.655571,81.751343,102.72448,119.785851,82.240829,52.767483,57.113781,32.046944,96.209999,118.796814,48.873684
2019-03-08,34.962231,1142.319946,176.889206,934.72998,54.649025,616.440002,43.462826,76.235878,533.76001,12.45,270.343414,113.184395,109.365089,183.051544,61.437576,118.24836,143.80722,75.708488,107.861252,103.944344,81.617081,102.861359,119.874374,82.270309,53.020149,55.813095,32.519642,95.690002,119.297287,48.602703
2019-03-11,35.215576,1175.76001,180.087265,940.030029,55.235153,616.880005,44.761673,76.978851,542.950012,12.39,274.268341,113.310799,109.345444,185.518692,61.969959,119.719772,146.279999,76.919891,107.822037,104.329369,81.885628,102.861359,119.795692,82.250664,52.621719,57.463223,32.268826,97.449997,118.944008,49.454361
2019-03-12,35.166862,1193.199951,180.126373,934.609985,56.258396,630.98999,44.635662,77.191116,550.130005,12.47,275.237396,113.621925,109.55175,185.82341,61.931244,120.080322,146.764679,76.801704,107.94944,104.656616,82.029495,103.056923,119.97274,82.280136,52.631435,57.133198,33.301041,97.5,119.778114,49.715664
2019-03-13,35.342255,1193.319946,183.226608,940.580017,56.735245,637.070007,44.800442,77.87619,557.159973,12.56,277.145996,113.437187,109.679466,186.540955,62.463631,120.850121,147.753784,77.097176,107.92984,104.685501,82.250076,103.08625,119.97274,82.289948,52.096954,57.822365,33.194923,99.309998,119.552422,49.793091
2019-03-14,35.088902,1185.550049,183.627579,950.219971,56.894196,642.390015,44.683113,77.615669,558.72998,12.41,277.009003,113.213554,109.650002,186.334534,62.453945,120.801399,147.674667,76.772156,107.841629,104.531494,82.19252,103.017807,119.903885,82.309601,52.291317,57.938847,32.239883,99.029999,118.688873,49.560818
2019-03-15,35.167427,1184.459961,187.031021,962.22998,57.122684,639,44.292011,77.335854,558.210022,12.46,278.252045,113.621925,110.03315,186.491806,63.131535,121.356834,148.357147,76.791862,107.978859,104.955002,82.269257,103.193802,120.100601,82.339088,52.738331,58.676552,31.969772,100.730003,119.473938,50.247952
2019-03-18,35.746517,1184.26001,187.099457,975.590027,57.500191,655.799988,44.399567,78.2332,559.48999,12.48,279.358093,113.563599,110.023331,187.976044,63.354168,121.824562,148.930832,77.392639,107.978859,105.051277,82.240479,103.20359,120.01207,82.319443,52.738331,60.258732,31.834713,100.269997,119.405235,50.780247
2019-03-19,35.697441,1198.849976,187.275497,978.98999,57.679012,665.859985,44.54623,78.030571,562.719971,12.51,279.485352,113.583031,109.925079,186.983261,63.480007,121.532234,149.22757,76.831253,108.037659,105.128265,82.288445,103.174255,119.953064,82.309601,52.874378,60.210194,32.104824,101.540001,119.140282,50.770565
2019-03-20,35.707256,1223.969971,186.91362,980.97998,57.738617,665.789978,44.516891,78.464775,569.359985,12.59,278.483032,114.351135,110.652092,185.435364,63.509045,120.617218,149.266251,76.25811,108.194473,106.061928,82.643272,103.457802,120.484177,82.427528,52.582848,60.365501,32.673988,102.309998,120.386536,50.867344
2019-03-21,36.276527,1231.540039,187.666687,1001.090027,58.453892,670.450012,44.497337,78.918274,577.97998,12.54,281.607941,114.565048,110.642258,187.941223,63.470329,121.675262,151.458435,77.256172,108.341499,106.033051,82.624107,103.496918,120.425163,82.427528,54.885956,60.947899,33.117752,104.150002,120.651489,50.944767
2019-03-22,35.461876,1205.5,182.590912,981.27002,57.559799,671.460022,44.907993,77.654274,561.26001,12.57,276.291595,115.265091,110.97628,182.55455,62.250675,119.510193,148.175125,74.43985,108.792351,105.330399,82.32679,103.839134,120.96611,82.565079,55.138622,59.50161,33.281746,101.269997,122.52578,49.444687
2019-03-25,35.491325,1193,182.483337,995.859985,57.728683,676.77002,45.005768,77.113922,562.719971,12.67,276.045929,115.498459,110.946808,182.929459,62.337795,119.304459,148.175125,74.795593,108.87075,105.917542,82.298019,103.927139,121.22184,82.653519,55.070591,59.375423,33.667622,101.550003,122.722046,49.618889
2019-03-26,35.88393,1184.619995,184.126358,997.309998,57.867764,688.820007,45.602196,78.117409,567.640015,12.61,278.060425,115.547043,110.750328,184.764481,62.647549,120.489861,148.889313,75.497208,108.949165,106.013794,82.499443,104.064034,121.172653,82.643692,55.945194,60.14225,34.304317,103.150002,122.633728,49.725349
2019-03-27,35.795593,1173.02002,182.219299,1003.200012,57.808155,697.869995,45.572865,77.51918,558.27002,12.54,276.704285,115.702629,110.799454,184.636215,62.676586,119.960831,148.075928,75.47744,109.076569,105.619164,82.556969,104.122688,121.379196,82.712471,55.33297,60.365501,34.449024,103.07,123.762222,49.173702
2019-03-28,36.21764,1168.48999,183.52002,1005.169983,57.559799,702.51001,45.543533,77.905128,562.890015,12.36,277.795105,115.84848,110.887863,186.204865,62.521706,120.342903,148.81987,76.188934,109.14518,105.840538,82.720009,104.083572,121.330025,82.702621,55.362129,59.161884,34.313961,103.860001,124.193985,49.560818
